cluster_id,avg_hourly_demand,median_hourly_demand,max_hourly_demand,min_hourly_demand,std_hourly_demand,total_demand,sparsity,non_zero_hours,rank,cumulative_demand_pct
64,216.96277322404373,185.0,805.0,0.0,151.41630973196516,635267.0,0.47814207650273227,2914,20,41.27934931425218
3,214.0512295081967,234.0,671.0,0.0,161.83864373484997,626742.0,3.2445355191256833,2833,21,42.636233507259924
70,212.83333333333334,202.0,575.0,0.0,107.58048872055673,623176.0,0.6147540983606558,2910,22,43.985397379893
39,212.49658469945356,206.0,644.0,0.0,144.95422031678982,622190.0,0.5122950819672131,2913,23,45.3324265817775
85,211.46550546448088,240.0,588.0,0.0,113.16145863868137,619171.0,0.47814207650273227,2914,24,46.672919707607264
25,209.65368852459017,172.0,891.0,0.0,144.70896164548282,613866.0,0.546448087431694,2912,25,48.001927612015926
14,205.6120218579235,223.0,666.0,0.0,117.22888712707203,602032.0,0.6147540983606558,2910,26,49.3053151374807
79,205.39446721311475,229.0,583.0,0.0,122.56958642204413,601395.0,0.5806010928961749,2911,27,50.607323570382746
35,205.047131147541,112.5,1696.0,0.0,256.0230224155619,600378.0,0.4098360655737705,2916,28,51.90713021814148
96,201.0112704918033,196.0,646.0,0.0,115.52045392209786,588561.0,0.5806010928961749,2911,29,53.18135329162441
82,199.43408469945356,227.0,521.0,0.0,118.83467495686399,583943.0,0.5122950819672131,2913,30,54.445578485272705
2,198.5922131147541,164.0,892.0,0.0,147.2638469640026,581478.0,0.546448087431694,2912,31,55.70446700204956
61,188.9795081967213,191.0,574.0,0.0,126.17725068001361,553332.0,0.6489071038251366,2909,32,56.902419978370546
33,185.51024590163934,194.0,593.0,0.0,103.06468806402046,543174.0,0.6830601092896175,2908,33,58.07838108302412
42,183.43032786885246,195.0,558.0,0.0,130.54013278740558,537084.0,0.6489071038251366,2909,34,59.24115745658354
40,177.86407103825135,194.0,573.0,0.0,128.40490479904338,520786.0,0.6489071038251366,2909,35,60.36864897835762
21,175.14446721311475,191.0,458.0,0.0,104.45020275196288,512823.0,0.6147540983606558,2910,36,61.47890076060744
49,174.71448087431693,183.0,545.0,0.0,119.83744157745599,511564.0,0.6147540983606558,2910,37,62.58642683243893
84,173.93101092896174,179.0,479.0,0.0,99.1071691409392,509270.0,0.6830601092896175,2908,38,63.688986439060244
57,173.61748633879782,194.0,456.0,0.0,99.76230648179516,508352.0,0.6489071038251366,2909,39,64.7895585936053
75,165.0669398907104,164.0,626.0,0.0,90.1682193604709,483316.0,0.5806010928961749,2911,40,65.83592829697244
36,162.9193989071038,184.0,456.0,0.0,93.26215109848656,477028.0,0.6489071038251366,2909,41,66.86868460311133
92,162.7599043715847,191.0,418.0,0.0,103.2023500074963,476561.0,0.5806010928961749,2911,42,67.90042986336829
13,160.58504098360655,187.0,480.0,0.0,97.21102757786876,470193.0,0.6489071038251366,2909,43,68.91838852795898
37,158.8360655737705,172.0,485.0,0.0,122.18239446308249,465072.0,2.219945355191257,2863,44,69.925260327536
32,158.7834699453552,172.0,419.0,0.0,92.51526198425584,464918.0,0.47814207650273227,2914,45,70.93179872011983
5,156.41564207650273,138.5,711.0,0.0,124.72132402034849,457985.0,0.7513661202185792,2906,46,71.92332730306889
7,155.79542349726776,145.0,503.0,0.0,127.12724870001104,456169.0,1.7418032786885245,2877,47,72.9109242814749
0,154.5594262295082,154.0,456.0,0.0,94.763189390661,452550.0,0.7172131147540983,2907,48,73.89068619554108
46,153.65983606557376,140.0,568.0,0.0,90.78500076421524,449916.0,0.546448087431694,2912,49,74.86474555103548
26,150.77322404371586,117.0,725.0,0.0,117.61936986306709,441464.0,0.6489071038251366,2909,50,75.82050649155323
28,145.30293715846994,162.0,362.0,0.0,78.64257993694764,425447.0,0.5806010928961749,2911,51,76.74159093979918
34,142.89822404371586,115.0,690.0,0.0,104.12965242146335,418406.0,0.6147540983606558,2910,52,77.64743176051904
83,141.02766393442624,151.0,439.0,0.0,81.12151770767665,412929.0,0.5122950819672131,2913,53,78.54141498317605
30,140.6997950819672,148.0,406.0,0.0,85.71156994062544,411969.0,0.546448087431694,2912,54,79.43331982457683
4,137.81659836065575,154.5,463.0,0.0,77.36989478805532,403527.0,0.7172131147540983,2907,55,80.30694790080571
24,134.54508196721312,136.5,445.0,0.0,67.35463170732375,393948.0,0.6147540983606558,2910,56,81.15983762906234
15,132.77834699453553,98.0,725.0,0.0,114.3870597372189,388775.0,0.546448087431694,2912,57,82.00152791332059
47,130.52459016393442,140.0,434.0,0.0,78.32826300216404,382176.0,0.7513661202185792,2906,58,82.8289314914228
80,130.30669398907105,127.0,424.0,0.0,76.13745725954718,381538.0,0.6489071038251366,2909,59,83.6549538119818
97,127.17930327868852,99.0,578.0,0.0,95.9895309207642,372381.0,0.6830601092896175,2908,60,84.46115140632911
95,123.04405737704919,121.0,733.0,0.0,98.39749003905075,360273.0,0.6830601092896175,2908,61,85.2411354170823
56,121.62841530054645,109.0,749.0,0.0,99.31919553605576,356128.0,0.7172131147540983,2907,62,86.01214558376566
71,119.97950819672131,115.0,431.0,0.0,71.29157127442792,351300.0,0.7172131147540983,2907,63,86.7727032247146
12,119.04918032786885,132.0,333.0,0.0,73.88868930529296,348576.0,0.7172131147540983,2907,64,87.52736345884901
69,118.81454918032787,138.0,321.0,0.0,82.08247933098095,347889.0,1.092896174863388,2896,65,88.28053635139695
77,113.89139344262296,124.0,288.0,0.0,76.55637486181784,333474.0,0.6489071038251366,2909,66,89.0025010503944
94,112.17657103825137,124.0,294.0,0.0,67.94312648241473,328453.0,0.819672131147541,2904,67,89.71359538242572
99,110.68989071038251,94.0,509.0,0.0,72.42356436516586,324100.0,0.8879781420765027,2902,68,90.41526555444837
72,110.08777322404372,116.0,355.0,0.0,60.0032240401347,322337.0,0.6830601092896175,2908,69,91.11311886589316
87,107.5785519125683,117.5,417.0,0.0,76.11428017406566,314990.0,0.8879781420765027,2902,70,91.79506606578643
51,105.0686475409836,102.5,295.0,0.0,69.0043476936786,307641.0,1.5027322404371584,2884,71,92.46110282416724
93,85.41120218579235,82.0,345.0,0.0,57.587861342682444,250084.0,0.6830601092896175,2908,72,93.00252980133511
74,84.42998633879782,68.0,479.0,0.0,67.39178053062777,247211.0,0.7855191256830601,2905,73,93.53773678959764
90,77.53142076502732,82.0,267.0,0.0,44.83543575926451,227012.0,0.7513661202185792,2906,74,94.02921333724098
78,76.23189890710383,84.0,226.0,0.0,52.930259924374035,223207.0,1.0245901639344261,2898,75,94.51245213417604
98,72.71960382513662,58.0,422.0,0.0,57.3275605213867,212923.0,0.7172131147540983,2907,76,94.97342627190383
91,68.21448087431693,69.0,199.0,0.0,40.82575783629412,199732.0,5.703551912568306,2761,77,95.40584215218284
10,67.84084699453553,59.0,329.0,0.0,42.304304710365905,198638.0,0.6489071038251366,2909,78,95.83588954382193
76,62.798838797814206,62.0,214.0,0.0,34.777139643262316,183875.0,0.6489071038251366,2909,79,96.2339753287052
9,62.76161202185792,60.0,224.0,0.0,33.34328085639265,183766.0,0.7513661202185792,2906,80,96.63182513071665
27,53.915642076502735,50.0,236.0,0.0,26.291863740299355,157865.0,0.44398907103825136,2915,81,96.97359977343912
19,41.665983606557376,29.0,487.0,0.0,43.21134265345523,121998.0,0.6830601092896175,2908,82,97.23772306145646
67,40.07855191256831,35.0,248.0,0.0,25.342464292827668,117350.0,0.546448087431694,2912,83,97.49178352022491
20,38.045081967213115,21.0,397.0,0.0,46.40287198643109,111396.0,1.0245901639344261,2898,84,97.73295368524384
60,35.86441256830601,29.0,448.0,0.0,26.7596137716382,105011.0,0.47814207650273227,2914,85,97.96030044992841
81,35.517418032786885,27.0,216.0,0.0,25.55716751996263,103995.0,0.47814207650273227,2914,86,98.18544759445014
16,31.231215846994534,29.0,224.0,0.0,15.334851112776962,91445.0,0.34153005464480873,2918,87,98.38342423400772
18,29.658128415300546,27.0,230.0,0.0,17.432624819916335,86839.0,0.6489071038251366,2909,88,98.57142897349638
44,29.30840163934426,22.0,341.0,0.0,27.0422900361566,85815.0,0.6830601092896175,2908,89,98.7572167729784
66,26.92622950819672,13.5,418.0,0.0,39.14346020465265,78840.0,1.4344262295081966,2886,90,98.92790383364567
22,24.493169398907103,20.0,282.0,0.0,19.07108117367479,71716.0,0.47814207650273227,2914,91,99.0831675734074
52,23.081967213114755,11.0,393.0,0.0,36.20975000151395,67584.0,3.7568306010928962,2818,92,99.22948561384547
54,19.364071038251367,16.0,161.0,0.0,13.488938138044057,56698.0,0.546448087431694,2912,93,99.35223567683016
62,19.122609289617486,12.0,432.0,0.0,24.11442786909356,55991.0,0.9221311475409836,2901,94,99.47345509861887
86,16.562158469945356,14.0,158.0,0.0,12.149938554868312,48494.0,0.6489071038251366,2909,95,99.57844366178476
31,16.49795081967213,13.0,227.0,0.0,13.576970439257758,48306.0,0.6830601092896175,2908,96,99.68302520862132
73,16.283128415300546,13.0,155.0,0.0,12.507084245271464,47677.0,0.9221311475409836,2901,97,99.78624498273894
89,15.343579234972678,7.0,380.0,0.0,26.144210973703508,44926.0,3.825136612021858,2816,98,99.8835088955692
45,9.470628415300547,8.0,113.0,0.0,7.670563089405274,27730.0,1.1612021857923498,2894,99,99.94354380414738
41,8.906079234972678,7.0,176.0,0.0,9.424781278567014,26077.0,1.5027322404371584,2884,100,100.0
