feature,importance_shap
T2_S20_lag_24,0.06344115
T2_S33_lag_22,0.06292129
T2_S47_lag_1,0.062425844
T2_S47_lag_21,0.06198745
T0_S37_lag_12,0.061542235
T0_S13_lag_17,0.060788535
T0_S28_lag_16,0.060755532
T0_S42_lag_15,0.060152322
T0_S36_lag_15,0.059994683
T0_S56_lag_9,0.059897903
T2_S35_lag_22,0.05962492
T2_S34_lag_3,0.059151713
T0_S32_lag_16,0.05901081
T0_S22_lag_12,0.05900296
T0_S73_lag_11,0.058906425
T2_S37_lag_23,0.058831677
T2_S3_lag_9,0.0588183
T0_S14_lag_12,0.05874146
T2_S54_lag_24,0.058172926
T1_S51_rolling_mean_24,0.05811278
T4_S135_lag_15,0.05788023
T2_S29_rolling_mean_6,0.057730667
T2_S36_lag_7,0.057265807
T0_S24_lag_11,0.05723815
T0_S17_lag_17,0.057060465
T0_S68_lag_10,0.056937303
T2_S20_lag_23,0.056880295
T0_S39_lag_5,0.056575425
T2_S21_lag_1,0.056409717
T0_S20_lag_13,0.055999164
T0_S4_lag_10,0.05567751
T0_S68_lag_11,0.05544333
T2_S14_lag_9,0.054813553
T0_S11_lag_11,0.054447636
T0_S81_lag_6,0.054125264
T2_S8_rolling_std_6,0.05361245
T0_S70_lag_10,0.05348279
T0_S48_rolling_mean_6,0.052973848
T2_S55_lag_24,0.052967954
T2_S45_rolling_std_6,0.05275406
T1_S15_rolling_mean_24,0.052207913
T1_S64_lag_24,0.050520338
T0_S13_lag_11,0.050433524
T0_S11_lag_8,0.050236262
T0_S65_lag_10,0.04973962
T0_S8_lag_11,0.04922806
T0_S12_lag_7,0.049211968
T0_S24_lag_8,0.048780315
T0_S37_lag_13,0.047822982
T1_S17_lag_22,0.047803737
T2_S17_lag_21,0.047707643
T1_S4_lag_6,0.047548085
T0_S40_rolling_mean_24,0.04747394
T0_S70_lag_11,0.047333073
T0_S79_rolling_mean_6,0.04731092
T0_S31_lag_8,0.047236584
T2_S42_lag_4,0.0471282
T0_S12_lag_5,0.04696484
T0_S13_lag_6,0.04695872
T2_S37_lag_3,0.046823766
T2_S25_lag_1,0.046641458
T0_S3_lag_9,0.04644476
T0_S37_lag_11,0.045994315
T2_S13_lag_23,0.045801327
T2_S8_lag_2,0.045497518
T0_S11_lag_16,0.045428563
T2_S62_lag_3,0.04520304
T0_S59_lag_14,0.045133594
T0_S65_lag_14,0.045096327
T2_S41_rolling_std_6,0.044984408
T0_S0_lag_11,0.04460914
T2_S21_lag_24,0.044370692
T2_S1_lag_2,0.044224296
T1_S2_lag_3,0.044021323
T0_S51_lag_7,0.04382608
T2_S31_lag_1,0.043580838
T0_S53_rolling_mean_24,0.04332051
T2_S38_lag_1,0.04327872
T0_S20_lag_10,0.04299539
T0_S17_lag_14,0.042759616
T0_S72_lag_4,0.042619996
T0_S82_lag_20,0.042592347
T0_S72_lag_5,0.042532206
T0_S78_lag_8,0.042469855
T0_S0_lag_1,0.04217763
T2_S51_rolling_std_6,0.042144015
T0_S45_lag_15,0.042014096
T0_S54_lag_13,0.04198077
T2_S21_lag_21,0.041944824
T0_S81_lag_15,0.041914824
T0_S17_lag_9,0.041459266
T2_S56_lag_1,0.04124256
T0_S22_lag_9,0.041170202
T0_S17_lag_11,0.041143432
T0_S24_lag_10,0.03997574
T0_S1_lag_14,0.039885134
T0_S46_lag_11,0.039876852
T0_S54_lag_10,0.039703935
T2_S31_lag_2,0.03954257
T0_S12_lag_13,0.039506234
T0_S68_lag_13,0.03904753
T0_S23_lag_7,0.038483575
T2_S26_rolling_std_6,0.038444765
T0_S52_lag_10,0.038443852
T1_S63_lag_24,0.038369786
T0_S73_lag_7,0.038191594
T0_S12_lag_6,0.037980802
T0_S19_lag_16,0.037953928
T0_S15_lag_13,0.037848495
T2_S32_lag_2,0.037795037
T2_S30_lag_2,0.037701756
T2_S46_lag_2,0.037478946
T2_S30_lag_3,0.03712237
T0_S72_lag_10,0.03669734
T2_S36_lag_3,0.03662571
T0_S4_lag_4,0.036576163
T2_S0_lag_1,0.03627885
T2_S16_lag_4,0.03621329
T0_S70_lag_9,0.036191642
T0_S37_lag_14,0.036158103
T2_S45_rolling_mean_24,0.035975114
T2_S27_lag_24,0.03581904
T0_S20_rolling_std_6,0.035693336
T2_S22_lag_4,0.03532192
T4_S22_lag_24,0.03528465
T0_S63_lag_7,0.035276134
T4_S11_lag_22,0.03503552
T0_S39_lag_7,0.034965597
T0_S12_lag_15,0.034898434
T0_S40_lag_11,0.034842532
T2_S25_lag_21,0.03476819
T0_S37_lag_17,0.03455939
T2_S41_lag_4,0.03455737
T2_S52_lag_4,0.03425876
T0_S12_lag_9,0.033873435
T0_S63_lag_6,0.033836305
T0_S19_lag_7,0.03347668
T1_S19_lag_8,0.033391204
T4_S43_lag_21,0.033237476
T0_S70_rolling_std_6,0.03321993
T0_S19_lag_13,0.033213228
T0_S29_lag_12,0.033194594
T0_S53_lag_10,0.033182744
T2_S0_rolling_std_6,0.032982863
T0_S64_lag_15,0.032908894
T2_S18_lag_6,0.03255123
T0_S65_lag_16,0.03235606
T2_S30_rolling_mean_6,0.03234181
T0_S68_lag_7,0.0320896
T0_S0_lag_15,0.031787433
T2_S49_lag_2,0.031782407
T0_S13_lag_12,0.03170598
T0_S1_lag_15,0.031661384
T0_S12_lag_14,0.031481046
T2_S38_lag_5,0.031392112
T4_S62_lag_18,0.031181023
T4_S49_lag_22,0.030733172
T2_S20_rolling_mean_6,0.03060294
T0_S32_lag_17,0.030481152
T0_S33_lag_6,0.030323293
T0_S21_rolling_mean_24,0.030168807
T0_S48_lag_10,0.030097056
T2_S49_lag_23,0.030040922
T4_S6_lag_16,0.029969366
T0_S5_lag_9,0.029805306
T0_S50_lag_12,0.029656282
T0_S73_lag_10,0.02953852
T1_S29_rolling_mean_24,0.02947704
T0_S45_lag_11,0.029475832
T0_S10_lag_9,0.029392323
T2_S32_lag_4,0.029351894
T2_S13_lag_21,0.029171048
T4_S105_lag_16,0.02904445
T2_S45_lag_3,0.028851526
T0_S9_lag_12,0.0286819
T0_S13_lag_16,0.028636707
T0_S46_lag_5,0.028622156
T4_S37_lag_20,0.028487766
T0_S57_lag_14,0.028335713
T0_S72_lag_8,0.028001942
T2_S46_lag_5,0.027814811
T0_S64_lag_9,0.027794043
T0_S43_lag_10,0.027770806
T2_S19_lag_1,0.027738832
T0_S8_lag_7,0.027532773
T2_S20_lag_1,0.02744712
T2_S21_lag_4,0.027424702
T4_S131_lag_15,0.027323907
T2_S14_lag_7,0.02730908
T0_S76_lag_9,0.02706832
T0_S48_lag_13,0.027024284
T0_S34_lag_19,0.026867352
T0_S47_lag_7,0.026738847
T2_S61_lag_24,0.026711315
T0_S48_lag_21,0.02670683
T0_S56_lag_14,0.026603455
T2_S29_lag_7,0.026597936
T0_S62_lag_8,0.026393542
T2_S19_lag_4,0.026298542
T2_S41_lag_6,0.02620311
T0_S44_lag_19,0.026190164
T0_S80_lag_7,0.026013745
T0_S36_lag_10,0.025847482
T0_S76_lag_18,0.0256688
T0_S0_lag_5,0.02565215
T0_S17_lag_15,0.02542773
T2_S10_rolling_std_6,0.025400143
T0_S40_lag_10,0.02537862
T0_S5_lag_11,0.025119977
T0_S75_lag_12,0.025112696
T2_S45_rolling_mean_6,0.025012476
T2_S63_lag_3,0.02496056
T2_S3_lag_1,0.024941359
T0_S19_lag_14,0.024874518
T0_S79_lag_5,0.024733607
T2_S7_lag_1,0.024685813
T2_S15_lag_6,0.0242143
T2_S23_rolling_std_6,0.024203382
T0_S65_lag_12,0.02408835
T0_S69_lag_9,0.023664633
T0_S73_lag_13,0.023445709
T2_S36_rolling_mean_24,0.023439482
T0_S30_lag_8,0.023389649
T0_S57_lag_6,0.023381766
T0_S51_lag_13,0.023260139
T1_S13_lag_24,0.023213075
T0_S0_lag_17,0.023182537
T0_S61_lag_7,0.023030998
T0_S50_lag_8,0.022931214
T0_S71_lag_10,0.02292461
T2_S9_rolling_std_6,0.022829225
T0_S55_lag_8,0.022825163
T4_S3_lag_24,0.022624075
T0_S72_lag_11,0.02248359
T0_S34_lag_14,0.022407068
T0_S78_lag_9,0.022356024
