feature,importance_shap
T2_S12_rolling_std_6,0.020574795
T2_S60_lag_2,0.020548198
T0_S82_lag_6,0.020544099
T0_S66_lag_9,0.020502485
T0_S6_lag_10,0.020383924
T0_S58_lag_21,0.020345723
T0_S62_lag_6,0.0203379
T2_S4_rolling_mean_6,0.020333031
T5_S19_lag_1,0.020332595
T0_S36_rolling_mean_24,0.020290297
T2_S22_lag_2,0.020278458
T0_S2_lag_9,0.020261157
T0_S80_lag_13,0.020214401
T0_S40_lag_15,0.02018982
T0_S1_lag_13,0.020164918
T2_S43_rolling_std_6,0.020152576
T0_S81_lag_8,0.020113187
T0_S72_lag_12,0.02010884
T3_S82_lag_1,0.020107087
T1_S42_lag_23,0.020054689
T2_S17_lag_8,0.020050207
T0_S2_lag_12,0.02003849
T0_S4_lag_11,0.02001334
T2_S49_lag_10,0.020000875
T0_S34_lag_9,0.019964926
T4_S11_lag_24,0.019908968
T2_S23_rolling_std_6,0.019908244
T2_S7_lag_2,0.019889923
T1_S0_lag_19,0.019867513
T0_S56_lag_8,0.0198418
T1_S14_lag_22,0.01983013
T0_S8_lag_8,0.019770151
T0_S49_lag_8,0.019728051
T2_S59_lag_1,0.019673957
T2_S62_rolling_std_6,0.019623423
T0_S42_lag_9,0.019583276
T0_S13_lag_6,0.019572033
T1_S6_lag_11,0.019555869
T0_S35_lag_6,0.019538002
T0_S28_lag_10,0.019505119
T4_S7_lag_17,0.019466521
T2_S36_lag_6,0.019441957
T0_S6_lag_4,0.019364217
T2_S6_rolling_mean_6,0.019359596
T0_S33_lag_13,0.019294446
T2_S20_lag_23,0.019283319
T0_S17_lag_17,0.019169306
T0_S5_lag_10,0.019114751
T0_S29_lag_6,0.019111596
T2_S5_rolling_std_6,0.019109288
T4_S12_lag_11,0.01907025
T2_S45_lag_2,0.019062255
T2_S47_lag_2,0.01900703
T2_S44_rolling_std_6,0.019003393
T0_S73_lag_16,0.018995155
T2_S26_rolling_std_6,0.018983537
T5_S1_lag_9,0.018953437
T5_S37_lag_1,0.01889597
T0_S28_lag_1,0.01889212
T0_S68_lag_7,0.018867146
T0_S56_lag_6,0.018779386
T3_S49_lag_19,0.01874396
T5_S39_lag_10,0.018658722
T0_S11_rolling_mean_24,0.018619824
T0_S62_lag_8,0.018600194
T0_S75_rolling_std_6,0.018590016
T0_S70_lag_8,0.018559007
T0_S24_lag_10,0.018499602
T0_S21_rolling_mean_24,0.018430024
T3_S54_lag_1,0.018419717
T2_S37_lag_4,0.018415041
T0_S19_lag_9,0.018251866
T5_S33_lag_5,0.018249882
T2_S30_rolling_std_6,0.018238602
T2_S6_rolling_std_6,0.018229704
T0_S41_lag_5,0.018212903
T5_S45_rolling_std_6,0.018184079
T1_S51_lag_1,0.018183254
T0_S57_rolling_mean_24,0.018121874
T2_S43_lag_1,0.018010654
T0_S17_rolling_std_6,0.018004056
T2_S4_lag_24,0.017985737
T0_S27_rolling_mean_24,0.017977076
T2_S51_lag_24,0.01793399
T0_S35_lag_12,0.017896302
T3_S47_lag_11,0.017870285
T0_S16_lag_6,0.01781788
T0_S65_lag_1,0.017776608
T0_S61_lag_9,0.017757826
T2_S39_lag_3,0.01774352
T2_S45_lag_3,0.017731143
T2_S20_lag_5,0.01772102
T2_S4_rolling_std_6,0.017720971
T2_S13_lag_24,0.01769759
T2_S35_lag_23,0.017692793
T2_S19_lag_4,0.017636944
T2_S44_lag_24,0.017626695
T2_S45_rolling_mean_24,0.017569104
T1_S76_rolling_std_6,0.017553661
T2_S6_lag_2,0.017519465
T0_S0_rolling_std_6,0.017502666
T0_S47_lag_10,0.017480383
T1_S42_lag_24,0.017447013
T0_S13_lag_1,0.017380951
T2_S19_lag_6,0.017375
T0_S24_lag_5,0.017327128
T0_S21_lag_13,0.017253848
T0_S20_lag_5,0.01724606
T3_S69_lag_19,0.017245328
T2_S55_rolling_std_6,0.017245298
T1_S0_rolling_mean_24,0.01723915
T2_S57_lag_24,0.017222205
T0_S19_lag_13,0.017199775
T4_S10_lag_16,0.01716129
T5_S79_lag_1,0.017160991
T0_S8_lag_1,0.017127631
T2_S65_lag_24,0.01711966
T0_S6_lag_12,0.017106958
T0_S82_lag_12,0.01707679
T0_S54_lag_13,0.01704804
T2_S41_lag_2,0.016954003
T4_S9_lag_19,0.016941745
T0_S43_lag_12,0.016938431
T0_S56_lag_9,0.016907
T0_S78_lag_10,0.016837891
T0_S57_lag_14,0.016830746
T2_S40_lag_24,0.01682302
T4_S13_lag_17,0.016813334
T0_S73_rolling_mean_24,0.016757349
T0_S24_rolling_mean_24,0.016741328
T0_S0_lag_19,0.016723108
T0_S12_lag_13,0.016697519
T2_S20_lag_3,0.016693207
T2_S32_lag_24,0.016684067
