feature,importance_gain
f2282,14899.5625
f4752,14891.59375
f4582,14693.3154296875
f639,14661.94140625
f5304,14552.875
f1883,14503.697265625
f7773,14344.875
f7503,14301.265625
f752,14153.6171875
f4846,13905.81640625
f4488,13680.828125
f1307,13547.2490234375
f12909,13004.50390625
f8438,12945.9296875
f5422,12405.3388671875
f4317,12306.6220703125
f5401,11887.875
f1882,11511.1875
f13315,11478.6279296875
f682,11313.1943359375
f4009,11303.080078125
f4424,11246.259765625
f1927,10983.9970703125
f755,10902.2734375
f1134,10900.1513671875
f736,10664.970703125
f3891,10649.947265625
f4683,10453.177734375
f12833,10443.8642578125
f3960,10277.01953125
f13023,10236.984375
f608,10173.1611328125
f4728,10163.3359375
f1710,10060.796875
f3889,9998.060546875
f175,9916.2392578125
f128,9599.416015625
f850,9500.697265625
f4852,9432.0732421875
f677,9340.578125
f3753,9330.498046875
f3333,9261.625
f436,9255.75
f12941,9212.9296875
f4630,9089.4580078125
f4994,8868.046875
f1831,8832.17578125
f13219,8815.091796875
f727,8780.9208984375
f856,8770.25390625
f9211,8694.6875
f1978,8643.6787109375
f4538,8571.4560546875
f4585,8518.505859375
f13377,8462.6728515625
f13184,8332.50390625
f5279,8320.82421875
f5305,8272.5625
f948,8200.0087890625
f126,8146.1826171875
f1188,8124.43115234375
f1187,8048.078125
f13064,8011.94140625
f4059,7947.2041015625
f3937,7935.69921875
f4824,7791.5712890625
f4581,7628.7783203125
f326,7507.77490234375
f1137,7430.5078125
f1067,7374.39208984375
f916,7362.140625
f4533,7324.138671875
f376,7229.541015625
f281,7201.697265625
f4168,7170.421875
f5234,7097.82080078125
f87,7095.36767578125
f132,7086.9306640625
f62,7038.9794921875
f968,7029.6806640625
f81,7018.4453125
f1642,6966.826171875
f4590,6950.068359375
f1377,6924.09326171875
f4016,6901.64013671875
f1184,6856.66943359375
f12917,6800.49609375
f8831,6729.130859375
f12971,6701.43017578125
f4872,6488.255859375
f152,6463.646484375
f796,6405.25
f114,6330.10107421875
f7647,6280.796875
f869,6226.8837890625
f1716,6093.609375
f2229,6003.546875
f519,5986.13671875
f819,5964.37890625
f681,5959.43896484375
f988,5926.4365234375
f1405,5840.54931640625
f2169,5839.3564453125
f3776,5813.41796875
f1063,5788.61572265625
f4892,5698.03125
f107,5643.87548828125
f1115,5619.587890625
f2263,5599.2734375
f995,5562.181640625
f19,5501.88525390625
f1641,5489.9306640625
f657,5464.390625
f13397,5439.98046875
f5111,5412.654296875
f658,5338.40625
