feature,importance_shap
T2_S62_lag_168,0.034402248
T2_S8_lag_168,0.03435137
T0_S59_lag_1,0.034223337
T2_S24_lag_168,0.03409775
T4_S12_lag_11,0.033812214
T1_S51_lag_1,0.033670053
T2_S31_lag_168,0.03366403
T0_S9_lag_7,0.03350891
T4_S19_lag_1,0.033313636
T2_S3_lag_168,0.033096068
T0_S18_lag_9,0.03287029
T4_S29_lag_12,0.03276666
T1_S27_lag_1,0.032710444
T4_S76_lag_166,0.032631554
T1_S74_lag_8,0.032508936
T4_S1_lag_1,0.032497823
T0_S13_lag_8,0.032295883
T0_S62_lag_10,0.03221367
T5_S0_lag_52,0.03179161
T5_S70_lag_52,0.031665858
T5_S74_lag_9,0.031580787
T2_S29_lag_2,0.031410873
T3_S43_lag_168,0.031380713
T0_S43_lag_9,0.031345308
T0_S56_lag_5,0.031297605
T5_S76_lag_1,0.031209145
T5_S8_lag_52,0.031170586
T2_S25_lag_156,0.031154707
T4_S71_lag_10,0.030999172
T1_S38_lag_168,0.03092481
T4_S21_lag_1,0.030842863
T0_S68_lag_7,0.030787824
T0_S25_lag_6,0.03071507
T2_S16_lag_168,0.03070119
T0_S19_lag_6,0.030688198
T0_S62_lag_2,0.030583212
T2_S49_lag_168,0.030489739
T1_S1_lag_167,0.030429814
T5_S64_lag_11,0.030345062
T1_S60_lag_1,0.030237855
T2_S11_lag_168,0.030232845
T5_S53_lag_28,0.030134853
T0_S74_lag_1,0.029986195
T2_S33_lag_168,0.02998595
T5_S50_lag_1,0.02992281
T1_S37_lag_1,0.029805453
T4_S106_lag_1,0.029760549
T0_S38_lag_10,0.029712936
T2_S21_lag_1,0.029647898
T5_S35_lag_28,0.029508585
T4_S32_lag_1,0.029489249
T5_S20_lag_10,0.029477214
T1_S39_lag_1,0.029471895
T2_S49_lag_3,0.029297188
T5_S2_lag_52,0.029267149
T0_S24_lag_1,0.028933564
T5_S37_lag_10,0.028874435
T5_S19_lag_106,0.028867193
T5_S37_lag_9,0.028577164
T5_S0_lag_12,0.028531978
T3_S52_rolling_std_6,0.028506573
T1_S4_rolling_mean_24,0.028028695
T5_S19_lag_154,0.02793135
T0_S38_lag_12,0.02786748
T5_S53_lag_9,0.02755399
T1_S52_lag_167,0.027437497
T1_S6_lag_29,0.027331354
T0_S6_rolling_mean_24,0.027321052
T0_S51_lag_9,0.027274065
T4_S66_lag_1,0.027210576
T4_S71_lag_24,0.027169196
T0_S28_lag_8,0.027131878
T1_S59_lag_168,0.027095448
T0_S0_lag_5,0.026895512
T0_S57_lag_11,0.026863046
T5_S55_lag_15,0.026856333
T4_S66_lag_168,0.026829176
T2_S28_lag_167,0.02678324
T2_S39_lag_1,0.026693245
T4_S1_lag_168,0.026528
T1_S33_lag_167,0.026440255
T5_S6_lag_5,0.026373897
T3_S53_lag_1,0.026272053
T2_S12_lag_168,0.026180323
T2_S20_lag_48,0.026120637
T2_S18_lag_168,0.02599887
T2_S19_lag_168,0.025954414
T0_S29_lag_9,0.025882227
T2_S0_lag_168,0.025806475
T1_S42_lag_168,0.025760116
T3_S34_rolling_std_6,0.025748085
T3_S49_lag_168,0.025729306
T5_S56_lag_167,0.025639005
T0_S51_lag_7,0.025583927
T1_S14_lag_168,0.025558604
T2_S60_lag_1,0.025431758
T5_S55_lag_37,0.025405033
T5_S19_lag_108,0.0253466
T0_S38_lag_11,0.025280671
T3_S38_rolling_std_6,0.025240215
T0_S26_lag_11,0.025233714
T0_S23_lag_9,0.025174329
T5_S19_lag_28,0.025119286
T3_S5_lag_159,0.025072131
T3_S51_rolling_std_6,0.025035772
T5_S5_lag_52,0.02492908
T4_S3_lag_168,0.024924379
T1_S58_lag_168,0.024914773
T5_S20_lag_52,0.024863971
T5_S80_lag_8,0.024836805
T2_S59_lag_168,0.024806347
T1_S26_lag_1,0.024798457
T3_S55_lag_168,0.024762468
T0_S48_lag_168,0.024707606
T2_S51_lag_168,0.02462146
T3_S23_lag_168,0.024585575
T5_S44_lag_52,0.02455221
T0_S6_lag_10,0.024438445
T0_S80_lag_9,0.024140172
T2_S29_lag_3,0.023965072
T0_S80_lag_1,0.023802167
T3_S56_rolling_std_6,0.023727108
T0_S74_lag_9,0.023626816
T5_S35_lag_39,0.023615591
T0_S36_rolling_std_6,0.02360007
T2_S32_lag_168,0.023548178
T0_S17_rolling_std_6,0.023443084
T0_S56_lag_1,0.023291903
T2_S8_lag_167,0.02326159
T2_S43_rolling_std_6,0.023241282
T2_S1_lag_1,0.023227882
T0_S43_lag_1,0.02311889
T0_S36_lag_72,0.023030851
T4_S44_lag_168,0.023023296
T3_S23_lag_1,0.022918075
T0_S35_lag_168,0.022870257
T5_S51_lag_53,0.022787595
T4_S23_lag_1,0.022768034
T0_S25_lag_7,0.02276501
T1_S9_lag_1,0.02274348
T2_S55_lag_168,0.022691155
T2_S34_lag_39,0.02265454
T0_S78_lag_7,0.022577453
T2_S15_lag_1,0.022551155
T4_S130_lag_1,0.022308929
T3_S47_lag_168,0.022274822
T1_S6_lag_54,0.022213612
T5_S41_lag_52,0.022142
T0_S27_lag_10,0.022113195
T0_S0_lag_3,0.022093272
T2_S37_lag_168,0.022061983
T2_S65_lag_168,0.022037229
T5_S80_lag_51,0.022031732
T1_S14_lag_113,0.022030616
T2_S4_lag_1,0.021947548
T3_S11_lag_1,0.021855239
T1_S48_lag_168,0.021841776
T0_S19_lag_8,0.02183526
T2_S19_lag_167,0.02182014
T2_S11_lag_1,0.021817714
T4_S21_lag_168,0.021757888
T1_S17_lag_40,0.021618498
T0_S21_lag_10,0.021574879
T2_S36_lag_1,0.02155511
T3_S43_lag_1,0.021540323
T5_S46_lag_53,0.021515487
T5_S66_lag_10,0.021483855
T0_S21_lag_126,0.021446645
T0_S3_lag_10,0.021438004
T5_S13_lag_52,0.021437576
T3_S72_lag_168,0.021370413
T1_S14_lag_49,0.021347728
T5_S1_lag_28,0.021311322
T2_S18_lag_26,0.021304665
T4_S39_lag_10,0.021272656
T4_S7_lag_12,0.021238072
T0_S73_lag_9,0.021225726
