feature,importance_gain
f2142,67.8143310546875
f65708,67.81024932861328
f89089,67.69490051269531
f52090,67.49091339111328
f51471,66.9195785522461
f23353,66.73302459716797
f47586,66.41016387939453
f37052,66.39228057861328
f123,65.89195251464844
f60657,65.51360321044922
f60161,65.47254943847656
f100,65.00211334228516
f45088,64.68785858154297
f34890,64.22256469726562
f966,64.15411376953125
f70099,64.13592529296875
f42544,63.98941421508789
f55286,63.96998596191406
f18454,63.62055969238281
f21356,63.54147720336914
f77712,63.33180236816406
f86406,63.2669792175293
f26561,61.869842529296875
f27043,61.86444091796875
f337,61.722808837890625
f33190,61.45068359375
f24542,60.98738098144531
f47415,60.961666107177734
f2310,60.62569808959961
f81360,60.574188232421875
f23859,60.39949417114258
f4151,60.298858642578125
f2808,60.09857940673828
f37718,60.07013702392578
f87076,59.97585678100586
f145,59.962703704833984
f1659,59.63276672363281
f28003,59.510650634765625
f49268,59.244815826416016
f29510,58.983768463134766
f89803,58.65126037597656
f51788,58.605552673339844
f59365,58.349212646484375
f41706,58.2520751953125
f65700,58.19750213623047
f75811,58.18690872192383
f3493,57.7806396484375
f826,57.495758056640625
f22704,57.34748077392578
f78676,56.995506286621094
f76685,56.95597839355469
f73757,56.56642150878906
f42703,55.955650329589844
f66037,55.15980529785156
f72753,54.79328918457031
f81022,54.41851806640625
f2978,54.13444519042969
f11024,54.0721435546875
f31005,54.007240295410156
f85394,53.97932815551758
f66188,53.83463668823242
f82707,53.57372283935547
f17138,53.2425537109375
f50102,52.96782302856445
f29678,52.801292419433594
f2493,52.72370910644531
f74931,52.21842956542969
f65362,51.68993377685547
f83886,51.577781677246094
f76488,51.25862121582031
f1281,51.01434326171875
f88775,50.86092758178711
f31694,50.81121826171875
f23496,50.72175216674805
f69563,50.68428039550781
f15643,50.453857421875
f4304,49.9544677734375
f58478,49.488040924072266
f5856,49.431854248046875
f8667,49.352596282958984
f42049,49.23507308959961
f62672,48.97462844848633
f86906,48.885311126708984
f72035,48.60948944091797
f29008,48.43870162963867
f48280,48.38187026977539
f28673,47.98273468017578
f49602,47.87451934814453
f2474,47.61543655395508
f89947,47.44384002685547
f52267,47.32310104370117
f14949,47.24552917480469
f20497,46.55990219116211
f58813,46.55445861816406
f71102,46.4412956237793
f80740,46.00135803222656
f52116,45.94440841674805
f89848,45.65006637573242
f462,45.48968505859375
f288,45.48921203613281
f52404,45.23334884643555
f6847,45.210899353027344
f41555,45.11450958251953
f939,44.93415832519531
f1636,44.492088317871094
f154,44.236454010009766
f16126,44.172935485839844
f129,43.73626708984375
f11549,43.71348571777344
f90016,43.67226028442383
f62123,43.447879791259766
f86118,43.23691177368164
f4775,42.56391906738281
f32037,42.504112243652344
f75593,41.6439094543457
f85737,41.57420349121094
f34169,40.76373291015625
f50131,40.691680908203125
f14758,40.68060302734375
f13421,40.51514434814453
f45572,40.50782012939453
f19822,40.25136947631836
f8503,40.127193450927734
f453,40.03483581542969
f651,39.95099639892578
f33873,39.8270149230957
f48418,39.308380126953125
f754,37.282169342041016
f88426,36.87898254394531
f1100,36.875247955322266
f44272,36.85342025756836
f49479,36.633365631103516
f2288,36.36738967895508
f85106,36.170650482177734
f52092,36.00482177734375
f70431,35.76360321044922
f59482,35.70016098022461
f43071,35.40736389160156
f73741,34.97477340698242
f39215,34.615814208984375
f28475,34.58740234375
f62507,34.0728645324707
f8862,33.99711990356445
f26207,33.99491500854492
f58290,33.9592399597168
f42549,33.95574951171875
f18360,33.950462341308594
f21507,33.918113708496094
f85088,33.893394470214844
f64530,33.793251037597656
f51117,33.472991943359375
f29325,33.20869445800781
f48932,33.06685256958008
f90637,32.78800582885742
f8717,32.7631950378418
f32543,32.71996307373047
f12025,32.55138397216797
f56969,32.49016189575195
f74319,32.44712829589844
f12726,31.9346866607666
f35730,31.9232234954834
f5155,31.821334838867188
f39663,31.5699462890625
f106,31.536422729492188
f41220,31.498807907104492
f77836,31.497295379638672
f29341,31.290300369262695
f85231,31.253528594970703
f38322,31.114059448242188
f49114,31.09975242614746
f937,31.064006805419922
f45922,30.676095962524414
f39905,30.53342056274414
f52929,30.248964309692383
f82420,30.083053588867188
f152,30.03902816772461
f64858,29.936466217041016
f1804,29.85582160949707
f63708,29.835126876831055
f5853,29.702308654785156
f48449,29.687545776367188
f7177,29.509023666381836
f66182,29.21607208251953
f86428,28.84278678894043
f2339,28.52874755859375
f48930,28.418725967407227
f55938,28.380355834960938
f88101,28.174583435058594
f1283,28.0823974609375
f14298,27.71078109741211
f1347,27.576858520507812
f2649,27.541545867919922
f73427,27.300100326538086
f61645,27.27368927001953
f44225,27.152986526489258
f67570,27.045368194580078
f98,26.87888526916504
f66370,26.85779571533203
f22195,26.800933837890625
f79519,26.739540100097656
f10034,26.714828491210938
f58835,26.40530014038086
f52546,26.390666961669922
f48427,26.362411499023438
f81577,26.357086181640625
f3657,26.30319595336914
f13702,26.246379852294922
f1827,26.226173400878906
f24359,26.049991607666016
f17640,25.617462158203125
f85252,25.606822967529297
f22482,25.597049713134766
f23185,25.588218688964844
f26568,25.54119110107422
f8159,25.50910758972168
f17517,25.253572463989258
f14139,25.248302459716797
f61812,24.90041160583496
f33897,24.895790100097656
f11881,24.81127166748047
f72081,24.72673797607422
f74932,24.690610885620117
f2979,24.6834716796875
f85735,24.648216247558594
f68224,24.5960636138916
f2281,24.297523498535156
f53100,24.22479248046875
f73407,24.19476890563965
f84070,24.164936065673828
f22656,24.14142608642578
f1830,24.08758544921875
f87912,23.93012046813965
f77827,23.90884780883789
f1155,23.879901885986328
f66523,23.68842887878418
f2643,23.528671264648438
f13589,23.37193489074707
f590,23.357757568359375
f11713,23.334239959716797
f72080,23.324398040771484
f42714,23.223379135131836
f22342,23.222137451171875
f9178,23.151473999023438
f54279,23.138879776000977
f18980,23.12942886352539
f11195,23.069766998291016
f8644,22.838130950927734
f65534,22.65997314453125
f89113,22.280181884765625
f81078,22.235132217407227
