,RMSE,MAE,MAPE,R2,Median_AE,RMSE_norm
T3_S22_LSTM,144.9166530533499,62.00478994561154,500.0,-0.44080497137193264,1.39990234375,3.280539451728304
T5_S45_SARIMA,189.349189557305,95.41780022719328,500.0,-1.4644627936192687,0.0839066218075281,4.041460438867675
T5_S45_XGBoost,27.00051755210565,7.448765480700373,55.570333218908374,0.9498882531074435,0.08189835399389267,0.5762978113131163
T5_S45_LSTM,135.43243829450645,60.30240846478768,500.0,-0.2607842057824412,9.4921875,2.890663766696429
T2_S8_SARIMA,252.71310776607405,140.3542737560689,500.0,-0.7650833031637654,0.09987691225798692,2.6777378145480752
T2_S8_XGBoost,28.621277387764334,10.925629818081214,65.40232416375133,0.9773594123480882,0.05190163105726242,0.3032698914566355
T2_S8_LSTM,156.4189979567217,66.87337351529793,500.0,0.32377897694278357,4.6953125,1.657409342336698
T0_S43_SARIMA,170.6444797099488,112.16107011163952,500.0,-1.1204476849845353,41.54571284734025,3.4268264481679247
T0_S43_XGBoost,16.30373041599859,5.291936958647605,33.05675213278727,0.9806439361411029,0.05517307668924332,0.3274061644906906
T0_S43_LSTM,97.84810060571152,36.99332526540072,500.0,0.3028152572299375,0.8046875,1.9649534495846879
T1_S58_SARIMA,237.14091176829191,114.51024234828913,500.0,-1.1396375648372317,1.8233962043601998e-05,4.074016732521299
T1_S58_XGBoost,25.030001967231975,7.4686685453957775,180.1218773685128,0.9761631419150214,0.008293949998915195,0.4300086647603876
T1_S58_LSTM,164.65835728097358,61.094213750373804,500.0,-0.03156072822056055,0.271484375,2.8287860483880114
T1_S60_SARIMA,176.86821220432213,87.07198566541673,500.0,-1.2715746827290735,8.519071052448502e-05,4.110927085255494
T1_S60_XGBoost,24.57793866214314,7.529842864100389,121.08486180737619,0.9561349771547263,0.04405069723725319,0.5712621419457269
T1_S60_LSTM,122.48003316253019,46.434494091563245,500.0,-0.08932642355725173,2.5693359375,2.8467890270139358
