hierarchical_cluster_id,temporal_id,spatial_id,size,pct,center_lat,center_lon,spread_km,peak_hour,avg_distance_km,avg_duration_min,avg_fare,lat_min,lat_max,lon_min,lon_max
T4_S51,4.0,51.0,2323.0,0.15486666666666668,40.727942279121045,-74.0000000426957,0.06471970385084926,2.0,2.4761084791688224,12.129975606256279,11.01980198019802,40.725120544433594,40.729820251464844,-74.0026626586914,-73.99687194824219
T4_S52,4.0,52.0,1792.0,0.11946666666666667,40.750824698380065,-74.00273993185588,0.08735788475179962,3.0,2.464587051866277,10.751143973214287,10.430245535714286,40.74863815307617,40.75369644165039,-74.00756072998047,-73.99784088134766
T4_S53,4.0,53.0,221.0,0.014733333333333333,40.74603269758268,-73.95579725584832,0.29727343991302174,22.0,3.6238914065366417,13.397812971342384,14.880090497737557,40.74125289916992,40.75580596923828,-73.96501922607422,-73.9519271850586
T4_S54,4.0,54.0,588.0,0.0392,40.6853892851849,-73.99417565793408,0.33462693807242194,0.0,3.0491836657684273,11.460884353741497,11.894557823129253,40.673789978027344,40.69633102416992,-74.01651763916016,-73.98385620117188
T4_S55,4.0,55.0,1208.0,0.08053333333333333,40.76315904137314,-73.99738274504807,0.11192640384253345,2.0,2.5479635743128246,10.835306291390728,10.797599337748345,40.760231018066406,40.7734260559082,-74.02194213867188,-73.99459075927734
T4_S56,4.0,56.0,2248.0,0.14986666666666668,40.76590239025944,-73.98765355242529,0.10379505806573014,0.0,2.6327357653501937,10.790220937129298,10.819706405609104,40.76316452026367,40.77077102661133,-73.99047088623047,-73.9850845336914
T4_S57,4.0,57.0,2209.0,0.14726666666666666,40.743320891629416,-73.99808262850483,0.05879503028956176,0.0,2.3301267528146736,10.793918816960918,10.245812584880037,40.73981475830078,40.74679183959961,-74.00084686279297,-73.9951171875
T4_S58,4.0,58.0,1118.0,0.07453333333333333,40.719469162560536,-74.00507283082801,0.06341545957941884,2.0,2.7392039333331883,12.507468694096602,11.5675313059034,40.716800689697266,40.721622467041016,-74.00720977783203,-74.00330352783203
T4_S59,4.0,59.0,1409.0,0.09393333333333333,40.728824268933984,-73.98077943259051,0.05399537427219301,0.0,2.5632931146958433,12.28484740951029,11.315968772720327,40.72597885131836,40.730804443359375,-73.98318481445312,-73.97853088378906
T4_S60,4.0,60.0,655.0,0.043666666666666666,40.765414620901794,-73.96960261687067,0.09127352835226302,20.0,2.029984733109711,9.116284987277353,9.072519083969466,40.76253128051758,40.77214813232422,-73.97225189208984,-73.96753692626953
T4_S61,4.0,61.0,1632.0,0.1088,40.721151800716626,-73.9973454615649,0.06484285116591361,2.0,2.479558820092101,12.153870506535947,11.068627450980392,40.71866226196289,40.722747802734375,-74.00047302246094,-73.99568939208984
T4_S62,4.0,62.0,2284.0,0.15226666666666666,40.75678132586638,-73.97280559105548,0.08126880598249789,23.0,2.2151532393640427,9.954611792177467,9.783931698774081,40.75347900390625,40.75973892211914,-73.97653198242188,-73.97024536132812
T4_S63,4.0,63.0,2206.0,0.14706666666666668,40.741271960551586,-73.9934296456663,0.09816490436972414,0.0,2.2173526714254486,10.47756875188879,9.903898458748866,40.73844528198242,40.744468688964844,-73.9966049194336,-73.99059295654297
T4_S64,4.0,64.0,925.0,0.06166666666666667,40.725261082004856,-73.9881259815113,0.03496811645415136,0.0,2.6604756723223506,12.06389189189189,11.36,40.72369384765625,40.72703552246094,-73.99002075195312,-73.98603820800781
T4_S65,4.0,65.0,1312.0,0.08746666666666666,40.74065829195627,-74.00781430267706,0.07115303418246284,1.0,2.7208688996573227,13.440294715447155,11.976371951219512,40.73918533325195,40.74871063232422,-74.0312728881836,-74.00630187988281
